Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-190.33809	108.31263	10.213645	-420.1107	90.163635	-0.15681006	0.048822645	-0.019328035	-0.37020788	5000	0.0024790086	13618.722	0.0	-2795.4004	1.3834559	2.861023e-10	2.632368803024292
1	-155.86717	100.205505	-0.14836077	-450.83298	88.25	-14.963238	3.785239	-7.66156	-48.22377	10000	0.0007070091	8111.4263	0.0	-5133.2437	1.3837279	-1.4305115e-10	5.406109809875488
2	-189.57341	101.82197	-5.502586	-476.85	91.51852	-80.07475	17.108288	-39.830475	-212.58185	15000	0.0014019179	3963.4668	0.0	-1062.1775	1.3838062	-4.529953e-10	8.157196998596191
3	-179.89012	93.23027	10.802999	-447.72348	92.42593	-101.967125	13.1547365	-42.86165	-267.2554	20000	-0.0002166583	2471.0403	0.0	-248.9436	1.3838023	-4.053116e-10	11.108589887619019
4	-165.83615	95.20163	-31.84842	-496.8663	92.84906	-95.23028	17.288452	-49.315865	-296.53748	25000	0.00012307146	2170.3801	0.0	-146.59912	1.3839511	-8.8214874e-10	13.997548818588257
5	-146.85847	87.47638	3.3376677	-397.6078	89.05357	-86.67156	16.880978	-42.571423	-296.38574	30000	0.00028292966	2008.743	0.0	-274.08667	1.3840433	-1.192093e-10	16.78320813179016
6	-208.18239	105.03154	-49.357708	-438.44675	92.111115	-93.184494	25.249945	-52.146626	-340.5093	35000	-0.0006742328	2737.392	0.0	-547.35986	1.3840882	-2.6226044e-10	19.74384307861328
7	-159.46768	81.51297	-34.783474	-374.12344	95.34615	-104.854324	19.606966	-57.460423	-289.3261	40000	-0.0022794902	2268.045	0.0	-556.2345	1.3842511	1.4305115e-10	22.84042263031006
8	-165.0207	92.963394	-61.73891	-493.60944	90.854546	-84.73094	20.306967	-45.901363	-268.35382	45000	-0.0006319679	1880.6237	0.0	-267.41016	1.3841469	7.152558e-11	25.689508199691772
9	-183.63208	104.112595	-4.8710194	-427.20428	93.528305	-91.557816	25.598394	-42.320942	-386.17447	50000	-0.0024176855	2457.4026	0.0	-211.92627	1.3842105	1.4305115e-10	28.814408540725708
10	-181.76059	91.57218	-43.22994	-408.5474	89.8	-94.67433	25.945133	-49.628044	-393.07764	55000	2.201891e-06	1436.7494	0.0	-144.67505	1.3843044	2.6226044e-10	31.70193600654602
11	-171.04117	104.54083	3.3204815	-400.40485	92.98113	-101.82828	26.070684	-43.791916	-315.13824	60000	-0.0033266433	2885.5254	0.0	-285.32788	1.3842231	1.9073486e-10	34.50597381591797
12	-170.23517	104.36167	-12.242288	-457.11722	90.10909	-87.59833	25.327364	-39.802055	-288.08075	65000	-0.0020194775	2635.5454	0.0	-149.64526	1.3841798	-1.0967255e-09	37.17439842224121
13	-189.08792	103.59088	26.37178	-516.8028	89.10714	-98.25519	30.85506	-45.672955	-314.78174	70000	-0.0018607312	2809.3943	0.0	-121.7207	1.3840425	2.6226044e-10	40.03339433670044
14	-207.26746	116.53662	22.903124	-527.30743	90.37037	-109.97205	31.75208	-51.54747	-305.00507	75000	0.00033505348	3376.5132	0.0	-174.02808	1.3838747	-7.867813e-10	42.884689807891846
15	-138.09453	82.40492	31.195196	-370.0982	89.87273	-100.256096	23.47073	-53.279457	-265.30194	80000	-0.0021060596	2965.253	0.0	-958.3331	1.3841199	-9.2983243e-10	45.71531128883362
16	-185.85832	114.15956	-5.3168426	-626.5012	92.57407	-78.224815	25.088531	-42.09342	-245.7673	85000	-0.0009704526	3991.7117	0.0	-732.0454	1.3838772	8.8214874e-10	48.476861000061035
17	-185.34111	125.18551	36.89973	-560.01044	92.0566	-105.2651	31.113035	-51.432217	-284.7362	90000	-0.0044422657	2980.0557	0.0	-480.4026	1.3840321	-8.3446505e-10	51.2529513835907
18	-190.45447	95.37968	1.203895	-457.65427	93.35849	-96.438736	30.758333	-38.250843	-316.8472	95000	-0.00096597156	1818.0836	0.0	-151.67456	1.383984	-3.33786e-10	53.966474771499634
19	-183.96466	90.60056	5.990346	-394.75345	92.22222	-104.86323	30.573765	-43.39262	-248.26349	100000	-0.0022594936	1849.418	0.0	-204.88794	1.3839062	-3.8146972e-10	56.64688444137573
20	-146.40347	78.447525	43.794453	-337.0395	87.01755	-91.70994	26.132423	-53.215668	-270.76895	105000	-0.0013257649	1369.7566	0.0	-194.44324	1.3839037	-1.4305115e-10	59.53847861289978
21	-142.93973	84.91351	-9.5948925	-409.4559	91.31481	-82.49996	23.539398	-46.221992	-219.76097	110000	-0.0030764726	1613.3655	0.0	-166.67615	1.3839598	-3.8146972e-10	62.390074014663696
22	-167.36601	91.94568	-16.992535	-401.74368	97.196075	-78.45015	22.03436	-49.72518	-229.42093	115000	-0.0024108344	2084.855	0.0	-350.83032	1.3839133	-8.8214874e-10	65.25537323951721
23	-166.70795	92.95883	66.70942	-360.0034	116.27907	-90.39519	34.14856	-48.88905	-220.00803	120000	-0.0034594918	2644.816	0.0	-1003.47644	1.3840036	1.192093e-10	68.491384267807
24	-154.03342	100.64037	39.93949	-477.70718	92.73585	-88.47384	25.484625	-28.176945	-185.40695	125000	-0.0052282703	2467.1743	0.0	-419.43994	1.3837252	-6.437302e-10	71.27996754646301
25	-172.17815	99.73906	-1.1954635	-512.63367	90.611115	-80.38031	28.29149	-34.0942	-266.03528	130000	-0.0030119945	2260.1792	0.0	-329.88696	1.3837506	1.2636184e-09	74.32264852523804
26	-178.82286	88.80453	-24.354076	-447.14795	94.13207	-95.749954	34.072166	-55.527515	-285.05887	135000	-0.0035959468	1568.0996	0.0	-201.57312	1.3836743	1.9073486e-10	77.2415132522583
27	-145.4424	87.02225	83.13745	-428.6261	110.31111	-84.5611	22.523195	-45.01357	-176.82578	140000	-0.0021377734	2304.7805	0.0	-708.50244	1.3837767	-3.0994415e-10	80.54502415657043
28	-166.24855	92.71225	-38.316856	-394.4571	91.27778	-81.504	24.839186	-23.52534	-223.46132	145000	-0.0027486347	1670.5944	0.0	-372.89197	1.3834639	5.722046e-10	83.38915944099426
29	-163.53352	85.81572	-27.410336	-426.005	95.78846	-89.41611	27.51598	-18.72065	-225.16577	150000	-0.0024273638	1588.6187	0.0	-140.57056	1.3835611	9.536743e-11	86.1502799987793
